Jobs_per_ 1Minute,Jobs_per_ 5 Minutes,Jobs_per_ 15Minutes,Mem capacity,Disk_capacity_GB,Num_of_CPU_Cores,CPU_speed_per_Core,Avg_Recieve_Kbps,Avg_Transmit_Kbps,Class_Name
4.0,4.8,5.5,12,128.72872,6,1,31.248,31.248,'Very Low'
3.727,4.727,5.273,12,128.72872,6,1,31.248,31.248,'Very Low'
4.2,4.8,5.4,12,128.72872,6,1,31.248,31.248,'Very Low'
3.545,4.727,5.636,12,128.72872,6,1,31.248,31.248,'Very Low'
5.4,7.5,10.4,12,128.72872,6,1,31.248,31.248,'Very Low'
10.182,9.545,8.364,12,128.72872,6,1,31.248,31.248,'Low'
4.909,5.455,6.455,12,128.72872,6,1,31.248,31.248,'Very Low'
3.7,5.4,6.1,12,128.72872,6,1,31.248,31.248,'Very Low'
4.909,5.636,6.091,12,128.72872,6,1,31.248,31.248,'Very Low'
4.818,5.636,6.273,12,128.72872,6,1,31.248,31.248,'Very Low'
5.6,7.1,7.7,12,128.72872,6,1,31.248,31.248,'Very Low'
6.545,7.273,7.455,12,128.72872,6,1,31.248,31.248,'Low'
6.455,6.545,7.273,12,128.72872,6,1,31.248,31.248,'Very Low'
6.1,7.8,9.4,12,128.72872,6,1,31.248,31.248,'Very Low'
12.909,13.364,14.0,12,128.72872,6,1,31.248,31.248,'Very Low'
19.6,18.9,19.4,12,128.72872,6,1,31.248,31.248,'Low'
13.818,13.273,13.182,12,128.72872,6,1,31.248,31.248,'Very Low'
10.2,11.5,12.4,12,128.72872,6,1,31.248,31.248,'Very Low'
13.182,13.455,13.818,12,128.72872,6,1,31.248,31.248,'Very Low'
10.7,10.0,10.1,12,128.72872,6,1,31.248,31.248,'Very Low'
5.636,7.182,7.636,12,128.72872,6,1,31.248,31.248,'Very Low'
5.727,5.727,6.182,12,128.72872,6,1,31.248,31.248,'Very Low'
6.4,5.6,6.2,12,128.72872,6,1,31.248,31.248,'Very Low'
4.273,5.182,5.818,12,128.72872,6,1,31.248,31.248,'Very Low'
4.818,5.182,5.818,12,128.72872,6,1,31.248,31.248,'Very Low'
4.1,4.8,5.7,12,128.72872,6,1,31.248,31.248,'Very Low'
4.636,4.818,5.636,12,128.72872,6,1,31.248,31.248,'Very Low'
7.818,9.727,11.545,12,128.72872,6,1,31.248,31.248,'Very Low'
8.9,7.9,7.0,12,128.72872,6,1,31.248,31.248,'Very Low'
3.818,4.727,5.182,12,128.72872,6,1,31.248,31.248,'Very Low'
4.182,4.636,5.182,12,128.72872,6,1,31.248,31.248,'Very Low'
3.7,4.5,5.2,12,128.72872,6,1,31.248,31.248,'Very Low'
4.636,5.182,6.0,12,128.72872,6,1,31.248,31.248,'Very Low'
6.4,7.1,7.7,12,128.72872,6,1,31.248,31.248,'Very Low'
5.455,7.091,7.909,12,128.72872,6,1,31.248,31.248,'Very Low'
9.0,8.455,8.818,12,128.72872,6,1,31.248,31.248,'Very Low'
6.1,7.3,8.2,12,128.72872,6,1,31.248,31.248,'Very Low'
14.091,16.182,19.0,12,128.72872,6,1,31.248,31.248,'Low'
19.1,19.8,18.6,12,128.72872,6,1,31.248,31.248,'Low'
13.727,13.727,13.636,12,128.72872,6,1,31.248,31.248,'Low'
11.0,12.0,12.7,12,128.72872,6,1,31.248,31.248,'Low'
